Country,Impressions,Estimated earnings (EUR),Page views,Page RPM (EUR),Impression RPM (EUR),CTR,Active View Viewable,Average Viewable Time,Active View Measurable,Total impressions,Clicks,CPC (EUR),Page CTR,Ad requests,Ad request CTR,Ad request RPM (EUR),Coverage,Matched ad requests,Matched ad CTR,Matched ad RPM (EUR),Ads per impression,Ad CTR,Ad impressions,Ad RPM (EUR),Funnel requests,Funnel clicks,Funnel RPM (EUR),Funnel impressions
Belgium,5327,121.36,3079,39.41,22.78,0.0374,0.6762,13.5772,0.9996,5327,199,0.61,0.0646,8098,0.0246,14.99,0.82,6640,0.03,18.28,1.0036,0.0372,5346,22.70,33,17,15.30,15
France,5313,49.12,3047,16.12,9.25,0.0288,0.6305,11.746,0.999,5313,153,0.32,0.0502,8714,0.0176,5.64,0.7781,6780,0.0226,7.25,1.0017,0.0287,5322,9.23,45,12,0.00,14
Poland,5043,58.00,2605,22.27,11.50,0.0347,0.611,13.3698,0.9986,5043,175,0.33,0.0672,7424,0.0236,7.81,0.8533,6335,0.0276,9.16,1.0056,0.0345,5071,11.44,24,28,3.74,14
Germany,4862,66.54,2694,24.70,13.68,0.0284,0.6192,14.5355,1,4862,138,0.48,0.0512,8161,0.0169,8.15,0.757,6178,0.0223,10.77,1.001,0.0284,4867,13.67,36,10,0.00,13
Ireland,4740,44.03,2653,16.60,9.29,0.0253,0.6278,13.961,0.9983,4740,120,0.37,0.0452,7273,0.0165,6.05,0.8163,5937,0.0202,7.42,1.0025,0.0253,4752,9.27,32,8,0.00,12
Qatar,4725,20.55,2559,8.03,4.35,0.0364,0.591,12.1364,0.9998,4725,172,0.12,0.0672,7396,0.0233,2.78,0.8203,6067,0.0284,3.39,1.0053,0.0362,4750,4.33,5,33,0.00,4
Brazil,4609,10.77,3037,3.55,2.34,0.0345,0.6675,10.1934,0.9978,4609,159,0.07,0.0524,8495,0.0187,1.27,0.7125,6053,0.0263,1.78,1.0043,0.0343,4629,2.33,21,22,0.00,6
Türkiye,4419,10.38,2198,4.72,2.35,0.0158,0.6559,20.2249,1,4419,70,0.15,0.0318,7227,0.0097,1.44,0.7667,5541,0.0126,1.87,1.002,0.0158,4428,2.35,36,13,0.00,6
Zimbabwe,4222,5.16,2787,1.85,1.22,0.0362,0.6376,15.9026,0.9988,4222,153,0.03,0.0549,7778,0.0197,0.66,0.7111,5531,0.0277,0.93,1.0043,0.0361,4240,1.22,51,18,0.00,15
Ghana,4070,5.57,2740,2.03,1.37,0.0314,0.6607,16.9731,0.9983,4070,128,0.04,0.0467,7596,0.0169,0.73,0.6929,5263,0.0243,1.06,1.0057,0.0313,4093,1.36,38,26,0.00,11
Jamaica,4026,9.73,2298,4.24,2.42,0.0323,0.6205,14.6606,0.9997,4026,130,0.07,0.0566,6748,0.0193,1.44,0.7407,4998,0.026,1.95,1.0037,0.0322,4041,2.41,14,17,0.00,9
Croatia,4014,26.42,1738,15.20,6.58,0.0291,0.5843,11.5734,0.9987,4014,117,0.23,0.0673,5555,0.0211,4.76,0.8677,4820,0.0243,5.48,1.0022,0.0291,4023,6.57,11,12,0.00,5
Italy,3992,28.71,2271,12.64,7.19,0.0283,0.6282,11.6213,0.9987,3992,113,0.25,0.0498,6308,0.0179,4.55,0.802,5059,0.0223,5.68,1.0035,0.0282,4006,7.17,15,11,0.00,6
Guam,3886,22.74,1771,12.84,5.85,0.0386,0.5977,11.8807,0.9992,3886,150,0.15,0.0847,6010,0.025,3.78,0.7907,4752,0.0316,4.78,1.0033,0.0385,3899,5.83,16,14,0.00,6
Zambia,3756,6.38,2855,2.23,1.70,0.0642,0.6005,16.1183,0.9975,3756,241,0.03,0.0844,6640,0.0363,0.96,0.7941,5273,0.0457,1.21,1.0088,0.0636,3789,1.68,48,34,1.00,14
